,X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
321,-3.62E+00,9.42E+00,4.91E+00,2.94E+02
322,-3.67E+00,9.15E+00,4.92E+00,2.94E+02
323,-3.77E+00,8.65E+00,4.95E+00,2.94E+02
324,-3.79E+00,8.58E+00,4.95E+00,2.94E+02
325,-3.82E+00,8.44E+00,4.96E+00,2.94E+02
326,-3.88E+00,8.16E+00,4.98E+00,2.94E+02
327,-3.98E+00,7.65E+00,5.00E+00,2.94E+02
328,-4.15E+00,6.86E+00,5.04E+00,2.94E+02
329,-4.31E+00,6.08E+00,5.07E+00,2.94E+02
330,-4.50E+00,5.20E+00,5.11E+00,2.94E+02
331,-4.67E+00,4.37E+00,5.19E+00,2.94E+02
332,-4.69E+00,4.20E+00,5.21E+00,2.94E+02
333,-4.74E+00,3.88E+00,5.26E+00,2.94E+02
334,-4.81E+00,3.30E+00,5.36E+00,2.94E+02
335,-4.85E+00,3.02E+00,5.41E+00,2.94E+02
336,-4.92E+00,2.51E+00,5.46E+00,2.94E+02
337,-4.94E+00,2.38E+00,5.46E+00,2.94E+02
338,-4.98E+00,2.14E+00,5.44E+00,2.94E+02
339,-5.08E+00,1.75E+00,5.32E+00,2.94E+02
340,-5.19E+00,1.47E+00,5.14E+00,2.94E+02
341,-5.30E+00,1.28E+00,4.92E+00,2.94E+02
342,-5.46E+00,1.09E+00,4.61E+00,2.94E+02
343,-5.51E+00,1.05E+00,4.52E+00,2.94E+02
344,-5.60E+00,9.85E-01,4.34E+00,2.94E+02
345,-5.77E+00,8.56E-01,4.03E+00,2.94E+02
346,-5.83E+00,7.96E-01,3.91E+00,2.94E+02
347,-5.95E+00,6.45E-01,3.75E+00,2.94E+02
348,-6.03E+00,5.07E-01,3.66E+00,2.95E+02
349,-6.15E+00,2.96E-01,3.61E+00,2.95E+02
350,-6.23E+00,1.72E-01,3.61E+00,2.95E+02
351,-6.36E+00,1.17E-02,3.63E+00,2.95E+02
352,-6.56E+00,-1.43E-01,3.72E+00,2.95E+02
353,-6.79E+00,-2.38E-01,3.83E+00,2.95E+02
354,-7.13E+00,-3.26E-01,4.00E+00,2.95E+02
355,-7.57E+00,-4.07E-01,4.22E+00,2.95E+02
356,-8.07E+00,-5.04E-01,4.49E+00,2.95E+02
357,-8.36E+00,-5.67E-01,4.65E+00,2.95E+02
358,-8.50E+00,-6.03E-01,4.74E+00,2.95E+02
359,-8.74E+00,-6.61E-01,4.91E+00,2.95E+02
360,-8.80E+00,-6.74E-01,4.96E+00,2.95E+02
361,-8.92E+00,-6.89E-01,5.06E+00,2.95E+02
362,-8.98E+00,-6.89E-01,5.12E+00,2.95E+02
363,-9.11E+00,-6.48E-01,5.26E+00,2.95E+02
364,-9.29E+00,-5.02E-01,5.49E+00,2.95E+02
365,-9.34E+00,-4.45E-01,5.55E+00,2.95E+02
366,-9.47E+00,-3.14E-01,5.71E+00,2.95E+02
367,-9.52E+00,-2.67E-01,5.76E+00,2.95E+02
368,-9.64E+00,-1.70E-01,5.88E+00,2.95E+02
369,-9.66E+00,-1.49E-01,5.91E+00,2.95E+02
370,-9.72E+00,-1.08E-01,5.97E+00,2.95E+02
371,-9.85E+00,-2.64E-02,6.12E+00,2.95E+02
372,-9.88E+00,-1.05E-02,6.15E+00,2.95E+02
373,-9.95E+00,2.05E-02,6.23E+00,2.95E+02
374,-1.01E+01,7.18E-02,6.44E+00,2.95E+02
375,-1.02E+01,9.42E-02,6.63E+00,2.95E+02
376,-1.02E+01,9.91E-02,6.74E+00,2.95E+02
377,-1.02E+01,9.97E-02,6.76E+00,2.95E+02
378,-3.10E+00,1.12E+01,5.00E+00,2.92E+02
379,-3.12E+00,1.11E+01,5.00E+00,2.92E+02
380,-3.14E+00,1.10E+01,5.00E+00,2.92E+02
381,-3.14E+00,1.10E+01,5.00E+00,2.93E+02
382,-3.14E+00,1.09E+01,5.00E+00,2.94E+02
383,-3.15E+00,1.09E+01,5.00E+00,2.94E+02
384,-3.16E+00,1.09E+01,5.00E+00,2.93E+02
385,-3.17E+00,1.08E+01,5.01E+00,2.93E+02
386,-3.18E+00,1.07E+01,5.01E+00,2.93E+02
387,-3.21E+00,1.06E+01,5.01E+00,2.93E+02
388,-3.24E+00,1.04E+01,5.02E+00,2.93E+02
389,-3.26E+00,1.03E+01,5.02E+00,2.93E+02
390,-3.29E+00,1.01E+01,5.03E+00,2.93E+02
391,-3.35E+00,9.84E+00,5.05E+00,2.94E+02
392,-3.38E+00,9.69E+00,5.06E+00,2.94E+02
393,-3.43E+00,9.42E+00,5.07E+00,2.94E+02
394,-3.49E+00,9.13E+00,5.09E+00,2.94E+02
395,-3.60E+00,8.57E+00,5.12E+00,2.94E+02
396,-3.74E+00,7.90E+00,5.16E+00,2.94E+02
397,-3.90E+00,7.19E+00,5.19E+00,2.94E+02
398,-4.09E+00,6.33E+00,5.23E+00,2.94E+02
399,-4.19E+00,5.87E+00,5.26E+00,2.94E+02
400,-4.39E+00,5.02E+00,5.31E+00,2.94E+02
401,-4.49E+00,4.49E+00,5.37E+00,2.94E+02
402,-4.56E+00,3.97E+00,5.44E+00,2.94E+02
403,-4.62E+00,3.39E+00,5.53E+00,2.94E+02
404,-4.66E+00,2.88E+00,5.60E+00,2.94E+02
405,-4.69E+00,2.55E+00,5.63E+00,2.94E+02
406,-4.71E+00,2.34E+00,5.63E+00,2.94E+02
407,-4.75E+00,1.99E+00,5.59E+00,2.94E+02
408,-4.77E+00,1.91E+00,5.57E+00,2.94E+02
409,-4.79E+00,1.75E+00,5.52E+00,2.94E+02
410,-4.85E+00,1.50E+00,5.41E+00,2.94E+02
411,-4.92E+00,1.28E+00,5.24E+00,2.94E+02
412,-4.96E+00,1.18E+00,5.14E+00,2.94E+02
413,-5.05E+00,1.03E+00,4.94E+00,2.94E+02
414,-5.19E+00,8.96E-01,4.66E+00,2.94E+02
415,-5.39E+00,7.66E-01,4.29E+00,2.94E+02
416,-5.44E+00,7.38E-01,4.21E+00,2.94E+02
417,-5.52E+00,6.72E-01,4.05E+00,2.94E+02
418,-5.62E+00,5.47E-01,3.86E+00,2.94E+02
419,-5.64E+00,5.15E-01,3.83E+00,2.94E+02
420,-5.68E+00,4.47E-01,3.78E+00,2.94E+02
421,-5.74E+00,2.98E-01,3.70E+00,2.95E+02
422,-5.80E+00,1.39E-01,3.68E+00,2.95E+02
423,-5.83E+00,7.23E-02,3.69E+00,2.95E+02
424,-5.88E+00,-3.81E-02,3.73E+00,2.95E+02
425,-5.96E+00,-1.34E-01,3.81E+00,2.95E+02
426,-6.00E+00,-1.67E-01,3.86E+00,2.95E+02
427,-6.10E+00,-2.14E-01,3.98E+00,2.95E+02
428,-6.18E+00,-2.36E-01,4.06E+00,2.95E+02
429,-6.38E+00,-2.59E-01,4.27E+00,2.95E+02
430,-6.66E+00,-2.75E-01,4.52E+00,2.95E+02
431,-7.13E+00,-3.15E-01,4.93E+00,2.94E+02
432,-7.47E+00,-3.57E-01,5.21E+00,2.94E+02
433,-7.64E+00,-3.86E-01,5.36E+00,2.94E+02
